Scenes	Sl. No.	Start_time	End_time	Utterance	Label	Speaker
Scene_2	86b	0:03:39.127000	0:00:01.353000	हां ठीक है।	non-humor	Koki,u86a
Scene_2	87	0:03:40.550000	0:00:01.170000	अरे एक मिनट एक मिनट एक मिनट।	non-humor	Keshu,u86b
Scene_2	88	0:03:42.280000	0:00:01.800000	दिलरुबा जी, पड़ोसी होने का धर्म निभाइए।	non-humor	Keshu,u86b
Scene_2	89	0:03:45.350000	0:00:00.690000	बैग उठाइए।	non-humor	Keshu,u86b
Scene_2	90	0:03:46.550000	0:00:01.610000	अरे नहीं, इसकी जरूरत नहीं है। मैं उठा  लूंगी।	non-humor	Koki,u89
Scene_2	91	0:03:48.230000	0:00:01.760000	नो नो इट्स माई प्लेजर, कोकी जी।	non-humor	Dilruba,u90
Scene_2	92	0:03:50.070000	0:00:01.280000	इत्ता तो  मैं कर सकता हूं।	non-humor	Dilruba,u90
Scene_2	93	0:03:51.880000	0:00:01.910000	अकु बाई! अकु बाई!	humor	Koki,u92
Scene_2	94	0:03:53.880000	0:00:01.160000	इट्स हिज प्लेजर।	humor	Keshu,u93
Scene_2	95	0:03:56.590000	0:00:02.450000	दिलरुबा जी, मैं उठा लूं क्या?	non-humor	Koki,u92
Scene_2	96	0:03:59.120000	0:00:01.080000	इट्स माई प्लेजर।	humor	Dilruba,u95
Scene_2	97	0:04:00.280000	0:00:01.640000	अकु बाई! चलिए।	non-humor	Koki,u96
Scene_2	98	0:04:02.070000	0:00:00.970000	अकु बाई!	non-humor	Koki,u96
Scene_2	99	0:04:03.080000	0:00:02.560000	अरे! काय चल रहे हैं?	non-humor	Koki,u96
Scene_2	100	0:04:06.550000	0:00:02.970000	अरे! दिलरुबा जी, आप ठीक हैं ना?	non-humor	Koki,u96
Scene_2	101	0:04:10.520000	0:00:02.200000	अकु बाई! बाय, केशू!	non-humor	Koki,u96
Scene_2	102	0:04:14.120000	0:00:01.430000	लगता है, ये गीरेगा।	non-humor	Keshu,u101
Scene_2	103	0:04:17.070000	0:00:01.850000	मम्मी!	humor	Dilruba,u102
Scene_2	104	0:04:20.720000	0:00:01.960000	गिरा हुआ इन्सान गिर गया!	humor	Keshu,u103
						
Scene_3	105a	0:04:37.320000	0:00:00.648000	औ गोखले मैन!	non-humor	Maria,u-
Scene_3	105b	0:04:38.018000	0:00:01.462000	यश, मारिया वोमैन!	humor	Gokhale,u105a
Scene_3	106	0:04:39.990000	0:00:01	एक बात बताओगे।	non-humor	Maria,u105b
Scene_3	107	0:04:41.070000	0:00:02.410000	ये कुलकर्णी आजकल इतना खुश काहे को है?	non-humor	Maria,u105b
Scene_3	108	0:04:43.550000	0:00:01.650000	क्योंकि उसकी बीवी बाहर गाँव गई है।	humor	Gokhale,u107
Scene_3	109a	0:04:45.550000	0:00:00.665714	औ गोखले!	non-humor	Pandey,u108
Scene_3	109b	0:04:46.265714	0:00:01.614286	क्या बात है, पांडे जी?	non-humor	Gokhale,u105aaa
Scene_3	110	0:04:47.960000	0:00:01.360000	एक बात बताओ।	non-humor	Pandey,u109
Scene_3	111	0:04:49.040000	0:00:05.920000	ई जब बीवी बाहर गाँव जाती है तो ई मर्दों को इतना खुशी क्यों होता हैं?	humor	Pandey,u109
Scene_3	113	0:04:55.990000	0:00:02.090000	कमाल करते हो पांडे जी, हमको एक बात बताओ।	non-humor	Gokhale,u111
Scene_3	114	0:04:59.070000	0:00:03.250000	जब आप मइके जाती हो तो आपको इतनी खुशी काहे होती है?	non-humor	Gokhale,u111
Scene_3	115	0:05:02.440000	0:00:04.580000	अरे उ तो हमको ऐसा लगता है जैसे कि हम किसी जेल से छुटकारा पा लिए हैं।	humor	Pandey,u114
Scene_3	116	0:05:10.160000	0:00:03.800000	तो हम मर्दों को भी ऐसा ही लगता है ​​कि कोई जेलर से छुटकारा मिल गया।	humor	Gokhale,u115
						
Scene_4	117	0:05:19.040000	0:00:04.240000	प्रेमा जी, आप इतनी खूबसूरत क्यों हैं?	humor	Keshu,u-
Scene_4	118	0:05:28.320000	0:00:01.230000	होम स्वीट होम!	humor	Keshu,u-
Scene_4	119a	0:05:31.550000	0:00:00.380000	हैलो!	non-humor	Keshu,u-
Scene_4	119b	0:05:31.980000	0:00:02.610000	केशू पा जी, पिंकी बोल रही हूं।	non-humor	Pinki,u119a
Scene_4	120a	0:05:34.680000	0:00:01.402500	हेलो, पिंकी आंटी!	humor	Keshu,u119b
Scene_4	120b	0:05:36.132500	0:00:01.097500	आ!	non-humor	Pinki,u120a
Scene_4	121	0:05:37.550000	0:00:01.490000	हाँ। पिंकी जी!	non-humor	Keshu,u120b
Scene_4	122	0:05:39.160000	0:00:03.040000	हिमालय की चोटी इतनी छोटी थी कि इतनी जल्दी वापस आ गए?	non-humor	Keshu,u120b
Scene_4	124	0:05:42.280000	0:00:02.390000	केशू पा जी, ये मजाक का वक्त नहीं है।	non-humor	Pinki,u123
Scene_4	125	0:05:44.760000	0:00:01.680000	हमारी कोकी!	non-humor	Pinki,u123
Scene_4	126	0:05:46.520000	0:00:01.920000	कोकी क्या? हिमालय की चोटी पर अटक गई?	humor	Keshu,u125
Scene_4	127	0:05:48.550000	0:00:00.970000	हमारी कोकी!	non-humor	Pinki,u126
Scene_4	128	0:05:49.590000	0:00:03.290000	अब वापस नहीं आएगी।	non-humor	Pinki,u126
Scene_4	129	0:05:53.070000	0:00:01.210000	वेरी गुड! वेरी गुड!	humor	Keshu,u128
Scene_4	130	0:05:57.880000	0:00:01.800000	पापा!	non-humor	Chintu,u129
Scene_4	131	0:05:59.760000	0:00:00.880000	चिंटू!	non-humor	Keshu,u130
Scene_4	132	0:06:00.680000	0:00:04.360000	मम्मी अब कभी वापस नहीं आएगी।	humor	Chintu,u131
Scene_4	133	0:06:05.020000	0:00:01.020000	वॉट!	non-humor	Keshu,u132
						
Scene_5	134	0:06:14.480000	0:00:04.110000	तेरी मां... मुझे मुझे अकेला छोड़ कर चली गई।	humor	Dilruba,u-
Scene_5	136	0:06:21.520000	0:00:01.360000	चिंटू बेटा आ जा।	non-humor	Dilruba,u-
Scene_5	137	0:06:23.990000	0:00:01.450000	अरे! हटो! मुझसे दूर रहो!	non-humor	Dilruba,u-
Scene_5	138	0:06:29.080000	0:00:02.200000	मेरे पे चढ़ के क्यों रो रहा है?	humor	Dilruba,u-
Scene_5	139	0:06:31.040000	0:00:03.080000	तेरे पापा आएंगे ना तो उनके ऊपर चड़ के रोना, ओके?	humor	Dilruba,u-
Scene_5	140	0:06:45.160000	0:00:01.480000	चिंटू!	non-humor	Keshu,u139
Scene_5	141	0:06:48.040000	0:00:02.680000	पापा!	non-humor	Chintu,u140
Scene_5	142	0:06:51.230000	0:00:02.440000	पापा!	humor	Dilruba,u140
Scene_5	143	0:06:54.960000	0:00:01.920000	अरे! अरे!	non-humor	Keshu,u142
Scene_5	144	0:06:57.680000	0:00:03.280000	मुझसे दूर रहो!	non-humor	Keshu,u142
Scene_5	145	0:07:02.160000	0:00:00.920000	अरे ऐसे तो मैं भी मर जाऊंगा।	non-humor	Keshu,u142
Scene_5	146	0:07:05.230000	0:00:01.840000	और तू पापा पापा क्या कर रहा है?	humor	Keshu,u142
Scene_5	147	0:07:07.280000	0:00:01.190000	मैं तेरा बाप हूँ?	non-humor	Keshu,u142
Scene_5	148	0:07:09.480000	0:00:01.040000	अरे रो क्यों रहा है?	non-humor	Keshu,u142
Scene_5	149	0:07:10.640000	0:00:01.360000	बीवी तेरी गई है या मेरी?	non-humor	Keshu,u142
Scene_5	150	0:07:14	0:00:01.040000	क्या!	non-humor	Keshu,u142
Scene_5	151	0:07:15.960000	0:00:01.160000	फिर!	non-humor	Keshu,u142
Scene_5	152	0:07:19.480000	0:00:00.920000	चुप! चुप! चुप! चुप!	non-humor	Keshu,u142
Scene_5	153	0:07:20.480000	0:00:01.440000	बिलकुल चुप।	humor	Keshu,u142
Scene_5	154	0:07:22.640000	0:00:01.160000	पिंकी आंटी!	humor	Keshu,u142
Scene_5	155	0:07:28.960000	0:00:02.320000	चुप! चुप!	non-humor	Keshu,u142
Scene_5	156	0:07:31.360000	0:00:02.440000	पिंकी जी! पिंकी जी!	non-humor	Keshu,u142
Scene_5	157	0:07:33.880000	0:00:02.680000	पिंकी जी, देखो मुझे ऐसा मजाक बिलकुल  पसंद नहीं हैं।	humor	Keshu,u142
Scene_5	158	0:07:37.360000	0:00:02.680000	अरे कोकी मुझे छोड़ कर कहीं जा ही नहीं  सकती!	non-humor	Keshu,u142
Scene_5	159	0:07:40.120000	0:00:01.640000	यहीं कहीं छिपी होगी बदमाश।	non-humor	Keshu,u142
Scene_5	160	0:07:42.120000	0:00:01.600000	अभी आवाज दुंगा तो बाहर आ जाएगी।	non-humor	Keshu,u142
Scene_5	161	0:07:43.760000	0:00:00.880000	देखना।	non-humor	Keshu,u142
Scene_5	162	0:07:46.040000	0:00:02.640000	कोकी! बाहर आ जाओ, कोकी!	humor	Keshu,u142
Scene_5	163	0:07:48.760000	0:00:02.840000	मुझे ऐसा भद्दा मजाक बिलकुल पसंद नहीं हैं, आंह?	humor	Keshu,u142
Scene_5	164	0:07:57.600000	0:00:04.480000	देखो, कोकी, तुम्हारे हांथ के पोहे आज के बाद मैं कभी नहीं खाऊंगा आंह।	humor	Keshu,u142
Scene_5	166	0:08:07.240000	0:00:04.560000	देखो, कोकी, तुम्हारे लिए हीरों के हार का ऑर्डर दिया है वो कैन्सल करवा दूंगा आंह।	humor	Keshu,u142
Scene_5	168	0:08:20.600000	0:00:04.880000	पिंकी, ये कोकी हीरों के हार के बारे में भी सुन कर नहीं आई।	non-humor	Keshu,u142
Scene_5	170	0:08:27.600000	0:00:04.320000	मतलब .. यू मीन, इट इज कनफर्म?	humor	Keshu,u142
Scene_5	171	0:08:32.680000	0:00:02	हाँ, केशू पा जी!	non-humor	Pinki,u170
Scene_5	172	0:08:34.840000	0:00:04.560000	हमारी कोकी हमें छोड़ कर चली गई!	non-humor	Pinki,u170
Scene_5	173	0:08:43.440000	0:00:01.400000	अरे, चुप हो जा!	humor	Keshu,u172
Scene_5	174	0:08:44.920000	0:00:01.040000	चुप!	humor	Keshu,u172
Scene_5	175	0:08:48.200000	0:00:02.160000	लेकिन, पिंकी, ये सब हुआ कैसे?	non-humor	Keshu,u172
Scene_5	176	0:08:50.440000	0:00:04.480000	केशू पा जी, हम न बरफीली चोटियों पर घुमने गए थे।	non-humor	Pinki,u175
Scene_5	177	0:08:55	0:00:03.120000	तो ना कोकी ना नीचे देखने गई और	non-humor	Pinki,u175
Scene_5	178	0:08:58.200000	0:00:03.680000	एक परिदें ने पीछे से आकर उसे धक्का दे दिया।	non-humor	Pinki,u175
Scene_5	179	0:09:01.960000	0:00:03.240000	और वो नीचे गिर गई!	non-humor	Pinki,u175
Scene_5	180	0:09:10.880000	0:00:01.280000	चुप!	non-humor	Keshu,u179
Scene_5	181	0:09:15.080000	0:00:01.840000	लेकिन लेकिन कोकी की लाश?	non-humor	Keshu,u179
Scene_5	182	0:09:17	0:00:02	बहुत ढ़ूढ़ा, केशू पा जी!	non-humor	Pinki,u181
Scene_5	183	0:09:19.080000	0:00:02.240000	पुलिस में कम्प्लेंट भी कराई।	non-humor	Pinki,u181
Scene_5	184	0:09:21.400000	0:00:02.480000	पुलिस ने भी चप्पा चप्पा छान मारा	non-humor	Pinki,u181
Scene_5	185	0:09:24	0:00:02.640000	कोकी कहीं नहीं मिली!	non-humor	Pinki,u181
Scene_5	186	0:09:28.160000	0:00:01.160000	पिंकी आंटी	humor	Dilruba,u185
Scene_5	187	0:09:31.600000	0:00:09.440000	पिंकी जी, ऐक्च्यूलि कोकी जी की लाश को जानवरों ने स्वीट डिश समझ कर चबा चबा चबा चबा के खा लिया होगा।	non-humor	Dilruba,u185
Scene_5	190	0:09:44.120000	0:00:01.080000	हे चुप!	non-humor	Keshu,u187
Scene_5	191	0:09:45.280000	0:00:01.800000	बीवी मेरी गई है, या तेरी?	humor	Keshu,u187
Scene_5	192	0:09:50.200000	0:00:01.120000	केशू जी!	non-humor	Prema,u-
Scene_5	193	0:09:56.160000	0:00:01.720000	प्रेमा जी!	humor	Keshu,u192
Scene_5	194a	0:09:59.400000	0:00:00.931429	क्या हुआ?	humor	Prema,u193
Scene_5	194b	0:10:00.381429	0:00:05.538571	प्रेमा जी, प्रेमा जी, प्रेमा जी, कोकी चली गई मुझे छोड़ कर!	humor	Keshu,u194a
Scene_5	196	0:10:06	0:00:01.440000	प्रेमा जी!	humor	Keshu,u194a
Scene_5	197	0:10:08.760000	0:00:02.160000	प्रेमा जी, वो देखिए ।।	humor	Keshu,u194a
Scene_5	198	0:10:14.160000	0:00:04.040000	मेरे प्यारे से चिंटू के लिए मैं दूसरी कोकी कहाँ से लाउंगा?	humor	Keshu,u194a
Scene_5	199	0:10:18.280000	0:00:02.080000	प्रेमा जी!	humor	Keshu,u194a
Scene_5	200	0:10:21.960000	0:00:01.240000	प्रेमा जी!	non-humor	Keshu,u194a
Scene_5	201	0:10:24.280000	0:00:01.240000	ऐक्सक्यूज मी।	humor	Dilruba,u200
Scene_5	202	0:10:27.400000	0:00:01.480000	आप की बीवी मर गई है।	non-humor	Dilruba,u200
Scene_5	203	0:10:29.040000	0:00:02.960000	तो, मेरी बीवी से लिपट लिपट कर क्यो रो रहे हो?	humor	Dilruba,u200
Scene_5	204	0:10:32.800000	0:00:01.840000	मुझसे लिपट के रोओ ना!	humor	Dilruba,u200
Scene_5	205	0:10:37	0:00:01.040000	हट!	humor	Keshu,u204
Scene_5	206	0:10:38.560000	0:00:01.920000	प्रेमा जी!	humor	Keshu,u204
Scene_5	207	0:10:40.840000	0:00:02.480000	मैं विधुर हो गया, प्रेमा जी!	humor	Keshu,u204
						
Scene_6	208	0:10:52.920000	0:00:04.320000	कोकि...ला ।।	humor	Keshu,u-
Scene_6	209	0:10:58.680000	0:00:04	कोकि...ला ।।	humor	Keshu,u-
Scene_6	210	0:11:03.560000	0:00:04.320000	पापा .. बड़बड़ आंटी आ रहीं हैं।	non-humor	Chintu,u209
Scene_6	211	0:11:08.320000	0:00:04.040000	बेटा, तेरी मम्मी कहां चली गई?	non-humor	Keshu,u210
Scene_6	212	0:11:12.440000	0:00:01.280000	केशू पा जी	non-humor	Pinki,u211
Scene_6	213	0:11:13.880000	0:00:01.280000	पिंकी आंटी!	humor	Keshu,u212
Scene_6	214a	0:11:15.240000	0:00:00.564000	है!	non-humor	Pinki,u213
Scene_6	214b	0:11:15.854000	0:00:01.266000	पिंकी!	non-humor	Keshu,u214a
Scene_6	215	0:11:19.720000	0:00:03.600000	मेरी कोकिला मुझे छोड़ कर चली गई!	humor	Keshu,u214a
Scene_6	216	0:11:26.120000	0:00:02.280000	मेरा तो सब चला गया!	non-humor	Keshu,u214a
Scene_6	217	0:11:36.840000	0:00:04.200000	पिंकी, पता है एक बार कोकिला ने मुझसे क्या कहा था?	non-humor	Keshu,u214a
Scene_6	218a	0:11:41.120000	0:00:00.573333	ऐ, केशू।	non-humor	Koki,u-
Scene_6	218b	0:11:41.743333	0:00:01.096667	बोल ना, कोकी। '	non-humor	Keshu,u218a
Scene_6	219	0:11:43.160000	0:00:02.760000	कल को अगर मैं गुजर गई, तो तुम पागल नहीं हो जाओगे ?'	non-humor	Koki,u218b
Scene_6	220	0:11:46.160000	0:00:00.880000	याद है?	non-humor	Keshu,u219
Scene_6	221	0:11:48.240000	0:00:02.560000	हां, केशू पा जी, बहुत अच्छे से याद है।	humor	Pinki,u220
Scene_6	222	0:11:51.720000	0:00:02.320000	और ये भी याद है आपने जवाब क्या दिया था।	non-humor	Pinki,u220
Scene_6	223	0:11:54.920000	0:00:01.360000	पागल! पिंकी!	humor	Keshu,u222
Scene_6	224	0:11:57.760000	0:00:02.280000	मैं क्यों नहीं हो जाता?	humor	Keshu,u222
Scene_6	225	0:12:02.560000	0:00:03.080000	मैं क्यों नहीं हो जाता, पिंकी पागल?	humor	Keshu,u222
Scene_6	226	0:12:07.520000	0:00:02.760000	केशू पा जी, शांत हो जाओ ।। शांत हो जाओ ।।	non-humor	Pinki,u225
Scene_6	227	0:12:11.720000	0:00:02.080000	मैं नहीं जी सकता।	non-humor	Keshu,u226
Scene_6	228	0:12:15.880000	0:00:02.600000	मैं सकता नहीं जी!	humor	Keshu,u226
Scene_6	229	0:12:20.280000	0:00:01.680000	केशू पा जी, शांत हो जाओ	non-humor	Pinki,u228
Scene_6	230	0:12:22.040000	0:00:01.880000	देखो, ये ना मेरी भांजी है।	non-humor	Pinki,u228
